"","lsoa11cd","msoa11cd"
"4453","E01012915","E02002659"
"4454","E01012894","E02002671"
"4457","E01012810","E02002677"
"4458","E01012910","E02002657"
"4460","E01012918","E02002659"
"4461","E01012859","E02002681"
"4466","E01012897","E02002668"
"4470","E01012906","E02002655"
"4475","E01012917","E02002659"
"4476","E01032595","E02006813"
"4478","E01012865","E02002678"
"4481","E01012867","E02002675"
"4482","E01012786","E02002653"
"4487","E01012912","E02002657"
"4495","E01012821","E02002662"
"4504","E01012913","E02002665"
"4507","E01012868","E02002666"
"4508","E01012780","E02002652"
"4514","E01012783","E02002655"
"4516","E01012784","E02002655"
"4521","E01012785","E02002653"
"4525","E01012870","E02002669"
"4532","E01033104","E02002680"
"4538","E01012860","E02002682"
"4540","E01012875","E02002654"
